NodeName,X,Y
[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),-0.08562631905078888,0.36046209931373596
SH3GL3,-0.10978244245052338,0.3793582022190094
PLCB1,-0.13675987720489502,0.3864634931087494
LGR4,-0.11231321841478348,0.37421882152557373
BICDL1,-0.10378455370664597,0.3894403576850891
PAX8,-0.0378510020673275,0.42583563923835754
MAL,-0.12359082698822021,0.22606150805950165
CACNA2D3,-0.14389394223690033,0.3855782449245453
CDR2,-0.12695451080799103,0.37658488750457764
PTPN14,-0.0296068973839283,0.4383626878261566
PKHD1,-0.03780459240078926,0.4257741868495941
[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),-0.03839508444070816,0.1547739952802658
LINC01099,-0.013423202559351921,0.1777419149875641
PDE4D,-0.023545073345303535,0.1701132208108902
NR3C2,-0.026419874280691147,0.18862706422805786
SCN2A,-0.028179248794913292,0.22784122824668884
CADPS2,-0.0034217173233628273,0.01190236210823059
COBLL1,-0.06758423149585724,0.2812750041484833
TOX3,-0.030616240575909615,0.22837868332862854
DCDC2,-0.01741855777800083,0.18206213414669037
SLC14A2,-0.020986542105674744,0.16968800127506256
ABTB2,-0.07785330712795258,0.1104726791381836
[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),0.03563623130321503,0.49213793873786926
MYO9A,0.029463930055499077,0.5521975159645081
LINC01320,0.053201667964458466,0.5414404273033142
FOXP2,0.05958331376314163,0.5468422174453735
BICC1,-0.03777189925312996,0.4257309138774872
OXR1,0.03556162118911743,0.553236186504364
[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),-0.021440226584672928,0.2912184000015259
SLC12A3,-0.0022971448488533497,0.3488258421421051
CACNA1D,-0.02179354429244995,0.3451831042766571
LINC01055,-0.0007258213008753955,0.3397846221923828
ARHGAP6,0.005817304830998182,0.34097930788993835
FGF13,-0.040663257241249084,0.09935970604419708
TRPM6,-0.01608346216380596,0.3463498651981354
